id,Label,Latitude,longitude
10009,10009,1.282101559,103.8172248
10011,10011,1.277738059,103.8374971
10017,10017,1.278320466,103.8376257
10018,10018,1.279008197,103.8386036
10021,10021,1.277448379,103.8383889
10041,10041,1.276058348,103.8351907
10049,10049,1.276233024,103.8348379
10051,10051,1.277411635,103.8321441
10059,10059,1.277396642,103.8327518
10061,10061,1.278604722,103.8294864
10069,10069,1.278554722,103.8300825
10071,10071,1.280453094,103.8263892
10079,10079,1.280395014,103.8270891
10081,10081,1.282278354,103.8224174
10089,10089,1.282923322,103.8216566
10091,10091,1.283941086,103.8178396
10099,10099,1.284209239,103.8176572
10101,10101,1.285025681,103.8137437
10109,10109,1.285314032,103.8136554
10111,10111,1.285928351,103.8093541
10119,10119,1.28598009,103.8112252
10121,10121,1.282626111,103.8288419
10129,10129,1.28232,103.8285719
10131,10131,1.286191414,103.8068655
10139,10139,1.286351354,103.8081
10141,10141,1.285838471,103.8323818
10149,10149,1.286067975,103.8328338
10151,10151,1.285720484,103.8285292
10161,10161,1.285931354,103.8266897
10169,10169,1.285999614,103.8274812
10171,10171,1.28736808,103.82346
10179,10179,1.287223333,103.8239583
10181,10181,1.288487711,103.8209448
10189,10189,1.288588052,103.8218319
10191,10191,1.28860026,103.8190312
10199,10199,1.288757233,103.8193662
10201,10201,1.289281445,103.8166285
10209,10209,1.289546317,103.8167289
10211,10211,1.290755,103.8114417
10219,10219,1.290895267,103.8119142
10221,10221,1.290329066,103.8311179
10229,10229,1.290521378,103.8317819
10231,10231,1.290468056,103.8278819
10239,10239,1.2906,103.82865
10241,10241,1.290616667,103.8236233
10249,10249,1.290881389,103.8240778
10261,10261,1.290903358,103.8204723
10269,10269,1.291253319,103.8205758
10271,10271,1.29116,103.8175767
10279,10279,1.291513732,103.8175766
10281,10281,1.291538333,103.8144517
10289,10289,1.291869975,103.8144064
10291,10291,1.292158553,103.8106587
10299,10299,1.292334985,103.8114649
10321,10321,1.294283329,103.8158784
10329,10329,1.293646713,103.8159746
10331,10331,1.281363066,103.8183442
10339,10339,1.281158351,103.8185725
10341,10341,1.284846396,103.820593
10349,10349,1.284983341,103.8210415
10351,10351,1.286755018,103.8220499
10359,10359,1.287238333,103.822593
10361,10361,1.280380921,103.8235303
10369,10369,1.280374712,103.8238734
10371,10371,1.283650723,103.8245027
10379,10379,1.283736034,103.8248952
10381,10381,1.289069722,103.8255941
10389,10389,1.28875833,103.8257346
10391,10391,1.2761961,103.8311101
10399,10399,1.275881663,103.8301945
10401,10401,1.288167299,103.8116785
10409,10409,1.287882218,103.8109932
10411,10411,1.289129795,103.8128084
10419,10419,1.288420242,103.8125755
10421,10421,1.288970616,103.8150354
10429,10429,1.289277906,103.8140481
10431,10431,1.287083844,103.8139987
10439,10439,1.287479569,103.8141894
10441,10441,1.286568989,103.8116062
10449,10449,1.286665525,103.8119538
10451,10451,1.287623803,103.817256
10459,10459,1.287547234,103.8163992
10461,10461,1.296805974,103.8116914
10469,10469,1.296684,103.8121692
10471,10471,1.296799931,103.8146822
10479,10479,1.296681,103.8154738
10481,10481,1.287841955,103.8179716
10489,10489,1.288116389,103.8177839
10499,10499,1.275854004,103.83401
10501,10501,1.281058454,103.8252807
10519,10519,1.291723031,103.8261095
10599,10599,1.28883435,103.80925
10651,10651,1.28329993,103.8154767
10659,10659,1.283623333,103.8147283
11009,11009,1.311067355,103.7893224
11019,11019,1.286796325,103.8056568
11021,11021,1.289418056,103.8022869
11029,11029,1.290134722,103.8020211
11031,11031,1.291196667,103.800455
11039,11039,1.292457629,103.7999868
11041,11041,1.296245,103.7995233
11049,11049,1.295460937,103.7995255
11051,11051,1.298721667,103.800298
11059,11059,1.298828928,103.8009739
11061,11061,1.302657778,103.8011869
11069,11069,1.302368532,103.8016176
11071,11071,1.306213056,103.8017094
11079,11079,1.305441389,103.8018525
11081,11081,1.308519722,103.8025803
11089,11089,1.309461355,103.8033409
11091,11091,1.312194441,103.8036738
11099,11099,1.313053333,103.8043767
11101,11101,1.316149711,103.8059601
11109,11109,1.315524722,103.8057431
11111,11111,1.317801573,103.8077187
11119,11119,1.317478335,103.8078561
11131,11131,1.292884999,103.8070669
11139,11139,1.293198611,103.8074469
11141,11141,1.294637051,103.8058251
11149,11149,1.295064071,103.8059628
11151,11151,1.298635858,103.8024759
11159,11159,1.298004408,103.8036266
11161,11161,1.302133056,103.7983908
11169,11169,1.302705,103.7983817
11171,11171,1.305356667,103.7947972
11179,11179,1.306275214,103.7942794
11181,11181,1.307223333,103.7922764
11189,11189,1.307401389,103.7925422
11191,11191,1.308016408,103.7883732
11199,11199,1.308379707,103.7884315
11201,11201,1.306926429,103.8118645
11209,11209,1.308172808,103.8103835
11211,11211,1.308387799,103.8093952
11219,11219,1.309885061,103.8071641
11221,11221,1.310022253,103.8054441
11229,11229,1.310600659,103.8052254
11231,11231,1.311153163,103.8011992
11239,11239,1.311528574,103.8016552
11259,11259,1.311198879,103.79274
11261,11261,1.312231684,103.7944462
11269,11269,1.312561126,103.794538
11271,11271,1.314734444,103.7900842
11279,11279,1.314668789,103.7906926
11281,11281,1.316226944,103.7885219
11289,11289,1.316188914,103.7890434
11291,11291,1.317927778,103.7859233
11299,11299,1.318269756,103.7855884
11301,11301,1.318039721,103.7879007
11309,11309,1.318624439,103.7884299
11311,11311,1.319896389,103.7891869
11319,11319,1.32030638,103.7895997
11321,11321,1.321231389,103.7901036
11329,11329,1.322361397,103.7909809
11331,11331,1.323209188,103.7914467
11339,11339,1.323986389,103.7920472
11341,11341,1.325515062,103.7928279
11349,11349,1.325666111,103.7930739
11351,11351,1.309345712,103.7894511
11359,11359,1.309310226,103.7896861
11361,11361,1.306496986,103.7905812
11369,11369,1.306325964,103.7908483
11379,11379,1.309170025,103.7923632
11381,11381,1.308411379,103.7932829
11389,11389,1.30906501,103.7929322
11401,11401,1.309067222,103.7950744
11409,11409,1.307644167,103.7943258
11419,11419,1.311029814,103.796044
11429,11429,1.30454,103.7983633
11439,11439,1.306064722,103.8002978
11441,11441,1.297804167,103.7975406
11449,11449,1.298405278,103.7976033
11451,11451,1.300349722,103.7970728
11459,11459,1.300970556,103.7968519
11469,11469,1.301135034,103.8018858
11471,11471,1.299518926,103.8031516
11479,11479,1.299380751,103.8037199
11481,11481,1.298115189,103.8060054
11489,11489,1.298453515,103.8049972
11491,11491,1.297102028,103.8076365
11499,11499,1.296850536,103.8078866
11511,11511,1.285946874,103.8025188
11519,11519,1.286657422,103.8033413
11521,11521,1.28857101,103.80543
11529,11529,1.289031206,103.8060909
11531,11531,1.291088333,103.8075308
11539,11539,1.291170495,103.8078618
11541,11541,1.29235984,103.805785
11551,11551,1.291267031,103.804096
11561,11561,1.29107396,103.8024759
11579,11579,1.292564891,103.8030332
11589,11589,1.292991881,103.8040052
